retro_game_id,game_type,game_type_des,st_fl,regseason_fl,playoff_fl,local_game_time,game_id,home_team_id,home_team_lg,away_team_id,away_team_lg,home_team_name,away_team_name,home_team_name_full,away_team_name_full,interleague_fl,park_id,park_name,park_loc
NYN201909100,R,Regular Season,F,T,F,19:10,566058,nyn,NL,ari,NL,NY Mets,Arizona,New York Mets,Arizona Diamondbacks,F,3289,Citi Field,"Flushing, NY"
PHI201909100,R,Regular Season,F,T,F,19:05,567132,phi,NL,atl,NL,Philadelphia,Atlanta,Philadelphia Phillies,Atlanta Braves,F,2681,Citizens Bank Park,"Philadelphia, PA"
TOR201909100,R,Regular Season,F,T,F,19:07,566933,tor,AL,bos,AL,Toronto,Boston,Toronto Blue Jays,Boston Red Sox,F,14,Rogers Centre,"Toronto, ON"
SDN201909100,R,Regular Season,F,T,F,19:10,566347,sdn,NL,chn,NL,San Diego,Chi Cubs,San Diego Padres,Chicago Cubs,F,2680,Petco Park,"San Diego, CA"
SEA201909100,R,Regular Season,F,T,F,19:10,566441,sea,AL,cin,NL,Seattle,Cincinnati,Seattle Mariners,Cincinnati Reds,T,680,T-Mobile Park,"Seattle, WA"
ANA201909100,R,Regular Season,F,T,F,19:07,564804,ana,AL,cle,AL,LA Angels,Cleveland,Los Angeles Angels,Cleveland Indians,F,1,Angel Stadium,"Anaheim, CA"
CHA201909100,R,Regular Season,F,T,F,19:10,567335,cha,AL,kca,AL,Chi White Sox,Kansas City,Chicago White Sox,Kansas City Royals,F,4,Guaranteed Rate Field,"Chicago, IL"
BAL201909100,R,Regular Season,F,T,F,19:05,565002,bal,AL,lan,NL,Baltimore,LA Dodgers,Baltimore Orioles,Los Angeles Dodgers,T,2,Oriole Park at Camden Yards,"Baltimore, MD"
MIA201909100,R,Regular Season,F,T,F,19:10,567434,mia,NL,mil,NL,Miami,Milwaukee,Miami Marlins,Milwaukee Brewers,F,4169,Marlins Park,"Miami, FL"
DET201909100,R,Regular Season,F,T,F,18:40,565578,det,AL,nya,AL,Detroit,NY Yankees,Detroit Tigers,New York Yankees,F,2394,Comerica Park,"Detroit, MI"
HOU201909100,R,Regular Season,F,T,F,19:10,565679,hou,AL,oak,AL,Houston,Oakland,Houston Astros,Oakland Athletics,F,2392,Minute Maid Park,"Houston, TX"
SFN201909100,R,Regular Season,F,T,F,18:45,566540,sfn,NL,pit,NL,San Francisco,Pittsburgh,San Francisco Giants,Pittsburgh Pirates,F,2395,Oracle Park,"San Francisco, CA"
COL201909100,R,Regular Season,F,T,F,18:40,565482,col,NL,sln,NL,Colorado,St. Louis,Colorado Rockies,St. Louis Cardinals,F,19,Coors Field,"Denver, CO"
TEX201909100,R,Regular Season,F,T,F,19:05,566837,tex,AL,tba,AL,Texas,Tampa Bay,Texas Rangers,Tampa Bay Rays,F,13,Globe Life Park in Arlington,"Arlington, TX"
MIN201909100,R,Regular Season,F,T,F,18:40,567033,min,AL,was,NL,Minnesota,Washington,Minnesota Twins,Washington Nationals,T,3312,Target Field,"Minneapolis, MN"
