retro_game_id,game_type,game_type_des,st_fl,regseason_fl,playoff_fl,local_game_time,game_id,home_team_id,home_team_lg,away_team_id,away_team_lg,home_team_name,away_team_name,home_team_name_full,away_team_name_full,interleague_fl,park_id,park_name,park_loc
KCA201909250,R,Regular Season,F,T,F,19:15,565779,kca,AL,atl,NL,Kansas City,Atlanta,Kansas City Royals,Atlanta Braves,T,7,Kauffman Stadium,"Kansas City, MO"
TOR201909250,R,Regular Season,F,T,F,19:07,566941,tor,AL,bal,AL,Toronto,Baltimore,Toronto Blue Jays,Baltimore Orioles,F,14,Rogers Centre,"Toronto, ON"
TEX201909250,R,Regular Season,F,T,F,19:05,566844,tex,AL,bos,AL,Texas,Boston,Texas Rangers,Boston Red Sox,F,13,Globe Life Park in Arlington,"Arlington, TX"
PIT201909250,R,Regular Season,F,T,F,19:05,566256,pit,NL,chn,NL,Pittsburgh,Chi Cubs,Pittsburgh Pirates,Chicago Cubs,F,31,PNC Park,"Pittsburgh, PA"
CHA201909250,R,Regular Season,F,T,F,19:10,567339,cha,AL,cle,AL,Chi White Sox,Cleveland,Chicago White Sox,Cleveland Indians,F,4,Guaranteed Rate Field,"Chicago, IL"
SFN201909250,R,Regular Season,F,T,F,18:45,566547,sfn,NL,col,NL,San Francisco,Colorado,San Francisco Giants,Colorado Rockies,F,2395,Oracle Park,"San Francisco, CA"
SEA201909250,R,Regular Season,F,T,F,19:10,566448,sea,AL,hou,AL,Seattle,Houston,Seattle Mariners,Houston Astros,F,680,T-Mobile Park,"Seattle, WA"
SDN201909250,R,Regular Season,F,T,F,19:10,566354,sdn,NL,lan,NL,San Diego,LA Dodgers,San Diego Padres,Los Angeles Dodgers,F,2680,Petco Park,"San Diego, CA"
NYN201909250,R,Regular Season,F,T,F,19:10,566066,nyn,NL,mia,NL,NY Mets,Miami,New York Mets,Miami Marlins,F,3289,Citi Field,"Flushing, NY"
CIN201909250,R,Regular Season,F,T,F,18:40,565299,cin,NL,mil,NL,Cincinnati,Milwaukee,Cincinnati Reds,Milwaukee Brewers,F,2602,Great American Ball Park,"Cincinnati, OH"
DET201909250,R,Regular Season,F,T,F,18:40,565589,det,AL,min,AL,Detroit,Minnesota,Detroit Tigers,Minnesota Twins,F,2394,Comerica Park,"Detroit, MI"
TBA201909250,R,Regular Season,F,T,F,19:10,566744,tba,AL,nya,AL,Tampa Bay,NY Yankees,Tampa Bay Rays,New York Yankees,F,12,Tropicana Field,"St. Petersburg, FL"
ANA201909250,R,Regular Season,F,T,F,19:07,564810,ana,AL,oak,AL,LA Angels,Oakland,Los Angeles Angels,Oakland Athletics,F,1,Angel Stadium,"Anaheim, CA"
WAS201909250,R,Regular Season,F,T,F,19:05,565971,was,NL,phi,NL,Washington,Philadelphia,Washington Nationals,Philadelphia Phillies,F,3309,Nationals Park,"Washington, DC"
ARI201909250,R,Regular Season,F,T,F,12:40,564910,ari,NL,sln,NL,Arizona,St. Louis,Arizona Diamondbacks,St. Louis Cardinals,F,15,Chase Field,"Phoenix, AZ"
