retro_game_id,game_type,game_type_des,st_fl,regseason_fl,playoff_fl,local_game_time,game_id,home_team_id,home_team_lg,away_team_id,away_team_lg,home_team_name,away_team_name,home_team_name_full,away_team_name_full,interleague_fl,park_id,park_name,park_loc
WAS201909140,R,Regular Season,F,T,F,16:05,565967,was,NL,atl,NL,Washington,Atlanta,Washington Nationals,Atlanta Braves,F,3309,Nationals Park,"Washington, DC"
DET201909140,R,Regular Season,F,T,F,18:10,565582,det,AL,bal,AL,Detroit,Baltimore,Detroit Tigers,Baltimore Orioles,F,2394,Comerica Park,"Detroit, MI"
PHI201909140,R,Regular Season,F,T,F,19:05,567135,phi,NL,bos,AL,Philadelphia,Boston,Philadelphia Phillies,Boston Red Sox,T,2681,Citizens Bank Park,"Philadelphia, PA"
SEA201909140,R,Regular Season,F,T,F,18:10,566445,sea,AL,cha,AL,Seattle,Chi White Sox,Seattle Mariners,Chicago White Sox,F,680,T-Mobile Park,"Seattle, WA"
ARI201909140,R,Regular Season,F,T,F,17:10,564903,ari,NL,cin,NL,Arizona,Cincinnati,Arizona Diamondbacks,Cincinnati Reds,F,15,Chase Field,"Phoenix, AZ"
KCA201909140,R,Regular Season,F,T,F,18:15,565776,kca,AL,hou,AL,Kansas City,Houston,Kansas City Royals,Houston Astros,F,7,Kauffman Stadium,"Kansas City, MO"
NYN201909140,R,Regular Season,F,T,F,19:10,566062,nyn,NL,lan,NL,NY Mets,LA Dodgers,New York Mets,Los Angeles Dodgers,F,3289,Citi Field,"Flushing, NY"
SFN201909140,R,Regular Season,F,T,F,18:05,566544,sfn,NL,mia,NL,San Francisco,Miami,San Francisco Giants,Miami Marlins,F,2395,Oracle Park,"San Francisco, CA"
SLN201909140,R,Regular Season,F,T,F,18:15,566640,sln,NL,mil,NL,St. Louis,Milwaukee,St. Louis Cardinals,Milwaukee Brewers,F,2889,Busch Stadium,"St. Louis, MO"
CLE201909140,R,Regular Season,F,T,F,13:10,565388,cle,AL,min,AL,Cleveland,Minnesota,Cleveland Indians,Minnesota Twins,F,5,Progressive Field,"Cleveland, OH"
CLE201909141,R,Regular Season,F,T,F,19:10,565389,cle,AL,min,AL,Cleveland,Minnesota,Cleveland Indians,Minnesota Twins,F,5,Progressive Field,"Cleveland, OH"
TOR201909140,R,Regular Season,F,T,F,15:07,566937,tor,AL,nya,AL,Toronto,NY Yankees,Toronto Blue Jays,New York Yankees,F,14,Rogers Centre,"Toronto, ON"
TEX201909140,R,Regular Season,F,T,F,19:05,566841,tex,AL,oak,AL,Texas,Oakland,Texas Rangers,Oakland Athletics,F,13,Globe Life Park in Arlington,"Arlington, TX"
CHN201909140,R,Regular Season,F,T,F,13:20,565196,chn,NL,pit,NL,Chi Cubs,Pittsburgh,Chicago Cubs,Pittsburgh Pirates,F,17,Wrigley Field,"Chicago, IL"
COL201909140,R,Regular Season,F,T,F,18:10,565486,col,NL,sdn,NL,Colorado,San Diego,Colorado Rockies,San Diego Padres,F,19,Coors Field,"Denver, CO"
ANA201909140,R,Regular Season,F,T,F,18:07,564807,ana,AL,tba,AL,LA Angels,Tampa Bay,Los Angeles Angels,Tampa Bay Rays,F,1,Angel Stadium,"Anaheim, CA"
